,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
51,linear_gaussian,0,misspecified,unknown,NLE,1.0,2023_05_07__23_06_29,11.444997,1.9250374,11.41122,2.5953975,11.090923,1.8104672,0.9860519,0.23569505,0.73327076,3.2247384,
52,linear_gaussian,0,misspecified,unknown,NPE,1.0,2023_05_07__23_06_29,5.019936,0.54813284,5.0088196,1.2852339,5.4864936,0.5388122,0.88293767,0.2868959,0.38757914,1.6332392,
53,linear_gaussian,0,misspecified,unknown,eGBI,1.0,2023_05_07__23_20_03,9.817571,1.8324891,9.783233,2.4240854,9.756993,1.7340536,0.9752526,0.17060174,0.7222487,2.8113232,0.5684
54,linear_gaussian,0,misspecified,unknown,eGBI,10.0,2023_05_07__23_20_03,3.8735077,0.9820112,3.858957,1.3699411,4.713875,0.86139184,0.9089248,0.87481165,0.6438484,1.8298444,0.9134
55,linear_gaussian,0,misspecified,unknown,eGBI,100.0,2023_05_07__23_20_03,3.4516828,2.9898672,3.4682934,3.1862712,5.7205462,3.019139,0.886112,7.2042775,0.8436276,8.108505,0.9964
56,linear_gaussian,1,specified,known,ABC,1.0,2023_05_07__23_20_03,3.3098612,0.96180683,3.1212778,1.2187483,3.2588062,0.9359929,0.9842157,0.031110397,0.6301547,0.9241842,
57,linear_gaussian,1,specified,known,ABC,10.0,2023_05_07__23_20_03,2.8602316,0.64052755,2.7914648,1.060007,2.8481224,0.59923416,0.9543597,0.036152776,0.6386728,0.6611197,
58,linear_gaussian,1,specified,known,ABC,100.0,2023_05_07__23_20_03,2.9171002,0.63159126,2.7411566,1.0876642,2.9200234,0.6432253,0.9637686,0.028990936,0.5769849,0.805625,
59,linear_gaussian,1,specified,known,GBI,1.0,2023_05_07__23_20_03,3.1749225,0.8206829,3.173079,1.1731814,3.1139748,0.7808156,0.9687901,0.045294464,0.6518499,0.79512346,0.5073
60,linear_gaussian,1,specified,known,GBI,10.0,2023_05_07__23_20_03,1.4905983,0.27913237,1.488859,0.6423258,1.5903764,0.2122567,0.9413213,0.021378864,0.39467904,0.36025164,0.6527
61,linear_gaussian,1,specified,known,GBI,100.0,2023_05_07__23_20_03,0.91021913,0.04852402,0.90869063,0.4366757,1.1399341,0.02275893,0.63457334,0.05423965,0.073752016,0.24317324,0.9878
62,linear_gaussian,1,specified,known,GT,1.0,2023_05_04__19_26_14,3.14019,0.8097342,3.1440446,1.178444,3.1174688,0.7908335,0.97147673,0.03739687,0.65157086,0.80022746,
63,linear_gaussian,1,specified,known,GT,10.0,2023_05_04__19_26_14,1.3174556,0.23329757,1.3165138,0.60162884,1.519723,0.19010495,0.892412,0.05231865,0.35622573,0.35784286,
64,linear_gaussian,1,specified,known,GT,100.0,2023_05_04__19_26_14,0.7799234,0.023368703,0.7790655,0.38676417,1.248352,0.057796553,0.031124556,0.22322714,0.013645949,0.3725164,
65,linear_gaussian,1,specified,known,NLE,1.0,2023_05_07__23_06_29,1.4544418,0.32461056,1.452402,0.6848899,1.6281471,0.2761603,0.94177645,0.042957198,0.43053284,0.413287,
66,linear_gaussian,1,specified,known,NPE,1.0,2023_05_07__23_06_29,1.4425579,0.37200823,1.447635,0.7309552,1.6327999,0.33087087,0.95438087,0.04911199,0.5087199,0.43190795,
67,linear_gaussian,1,specified,known,eGBI,1.0,2023_05_07__23_20_03,3.1988547,0.8600915,3.2093499,1.2361125,3.1759822,0.83564985,0.97059447,0.04338145,0.684453,0.81321436,0.5155
