,task,xo_idx,xo_specified,xo_known,algorithm,beta,samples_datetime,dist_gt_mean,dist_gt_std,dist_samples_mean,dist_samples_std,dist_estimate_mean,dist_estimate_std,r_dist_gt_estimate,mse_dist_gt_estimate,r_dist_samples_estimate,mse_dist_samples_estimate,c2st
389,gaussian_mixture,6,misspecified,unknown,eGBI,10.0,2023_05_11__17_07_44,0.29884666,0.08734137,0.31565014,0.089706905,0.3259351,0.1320598,0.91083705,0.0047895713,0.89902985,0.0042910324,0.5066
390,gaussian_mixture,6,misspecified,unknown,eGBI,25.0,2023_05_11__17_07_44,0.25447994,0.042613983,0.2709817,0.045030084,0.25898585,0.081200294,0.8822494,0.002323645,0.8511827,0.0025399928,0.5095
391,gaussian_mixture,6,misspecified,unknown,eGBI,75.0,2023_05_11__17_07_44,0.22954671,0.020107977,0.24584942,0.023090534,0.21610093,0.043348737,0.854996,0.00097355107,0.77004224,0.0017555435,0.5309
392,gaussian_mixture,7,specified,known,ABC,10.0,2023_05_11__17_07_44,0.1292906,0.16300948,0.13208848,0.17003694,0.14436376,0.16576916,0.9992918,0.00027217346,0.9894294,0.0007525207,
393,gaussian_mixture,7,specified,known,ABC,25.0,2023_05_11__17_07_44,0.04299033,0.040478423,0.045982655,0.0441178,0.05785445,0.0392796,0.98093057,0.00028177747,0.90627104,0.00048223382,
394,gaussian_mixture,7,specified,known,ABC,75.0,2023_05_11__17_07_44,0.015551055,0.014107171,0.019014083,0.017420813,0.03502945,0.008893786,0.96306,0.00041512775,0.83773404,0.0003770244,
395,gaussian_mixture,7,specified,known,GBI,10.0,2023_05_11__17_07_44,0.10456754,0.10408303,0.11035124,0.10890329,0.11877761,0.10582175,0.99668354,0.00027799496,0.9676236,0.000826581,0.5003
396,gaussian_mixture,7,specified,known,GBI,25.0,2023_05_11__17_07_44,0.04347227,0.03923204,0.04798128,0.04388587,0.057171483,0.037284732,0.979638,0.00025101722,0.8966334,0.00046623,0.4968
397,gaussian_mixture,7,specified,known,GBI,75.0,2023_05_11__17_07_44,0.020179931,0.017262656,0.024333479,0.022048859,0.036759607,0.011735199,0.95459336,0.0003238257,0.76541704,0.00038213033,0.5404
398,gaussian_mixture,7,specified,known,GT,10.0,2023_05_10__15_28_03,0.10594846,0.10240979,0.111315966,0.10732601,0.12076594,0.10412538,0.99654263,0.00029621937,0.9656054,0.0008681348,
399,gaussian_mixture,7,specified,known,GT,25.0,2023_05_10__15_28_03,0.04214584,0.04177801,0.046680696,0.045987606,0.057258863,0.040447596,0.98250574,0.00028928515,0.9048182,0.00049660495,
400,gaussian_mixture,7,specified,known,GT,75.0,2023_05_10__15_28_03,0.013914096,0.013492608,0.01780791,0.017583625,0.033542186,0.009536113,0.94686896,0.0004145823,0.74309766,0.00039845408,
401,gaussian_mixture,7,specified,known,NLE,1.0,2023_05_11__16_57_59,0.0014646549,0.0025774264,0.005038298,0.0059505664,0.025727225,0.0016377325,0.9490279,0.0005899854,0.42306316,0.00045787124,
402,gaussian_mixture,7,specified,known,NPE,1.0,2023_05_11__16_57_59,0.008296146,0.06864786,0.012032707,0.06980375,0.03154434,0.06838368,0.99920726,0.0005479883,0.9924341,0.0004549374,
403,gaussian_mixture,7,specified,known,eGBI,10.0,2023_05_11__17_07_44,0.11211367,0.10964327,0.11799945,0.11487534,0.12741067,0.11142814,0.99687624,0.000313499,0.9682798,0.0009123526,0.4941
404,gaussian_mixture,7,specified,known,eGBI,25.0,2023_05_11__17_07_44,0.050197124,0.051003803,0.05462011,0.055364706,0.06522361,0.050393056,0.98754907,0.0002901588,0.92559004,0.00055227143,0.508
405,gaussian_mixture,7,specified,known,eGBI,75.0,2023_05_11__17_07_44,0.022732824,0.024579251,0.026753753,0.028316772,0.040347055,0.02135592,0.9663266,0.00035599316,0.8479409,0.00041709433,0.5286
406,gaussian_mixture,7,specified,unknown,ABC,10.0,2023_05_11__17_07_44,0.08569166,0.07033153,0.08647966,0.06758121,0.10838577,0.07581685,0.9932767,0.0006147774,0.908055,0.0014697176,
407,gaussian_mixture,7,specified,unknown,ABC,25.0,2023_05_11__17_07_44,0.041192673,0.037690356,0.044136707,0.03787941,0.06041826,0.040784087,0.98663,0.0004192846,0.87834173,0.000641734,
408,gaussian_mixture,7,specified,unknown,ABC,75.0,2023_05_11__17_07_44,0.022133376,0.020226212,0.027838428,0.027309664,0.039936982,0.016227983,0.97904396,0.00034611617,0.882252,0.00036900264,
409,gaussian_mixture,7,specified,unknown,GBI,10.0,2023_05_11__17_07_44,0.09844301,0.09566235,0.10438535,0.10165743,0.119210534,0.101284176,0.9956872,0.00054644677,0.9640478,0.0009601281,0.4939
410,gaussian_mixture,7,specified,unknown,GBI,25.0,2023_05_11__17_07_44,0.04100226,0.03634754,0.04578841,0.0412905,0.05790659,0.03720557,0.98282117,0.00033294607,0.8891971,0.00050390436,0.5093
411,gaussian_mixture,7,specified,unknown,GBI,75.0,2023_05_11__17_07_44,0.0183945,0.015794365,0.022408396,0.020270178,0.036720578,0.011941333,0.97666055,0.00035949025,0.78573984,0.00037789834,0.5142
412,gaussian_mixture,7,specified,unknown,GT,10.0,2023_05_10__15_28_03,0.10388556,0.100873806,0.11009601,0.10530372,0.12563089,0.10663437,0.99595565,0.0005930253,0.96583736,0.0010101729,
413,gaussian_mixture,7,specified,unknown,GT,25.0,2023_05_10__15_28_03,0.04234593,0.040641315,0.046959843,0.044900496,0.060468227,0.042718038,0.9865564,0.00037939873,0.9090064,0.00053623173,
414,gaussian_mixture,7,specified,unknown,GT,75.0,2023_05_10__15_28_03,0.014402896,0.013688845,0.018237,0.017802186,0.034219816,0.010732428,0.9776587,0.0004080123,0.7624222,0.00039618733,
415,gaussian_mixture,7,specified,unknown,NLE,1.0,2023_05_11__16_57_59,0.0025211175,0.0010920503,0.006169065,0.006200785,0.025344271,0.0006907679,0.88646466,0.00052122853,0.1363824,0.00040543947,
416,gaussian_mixture,7,specified,unknown,NPE,1.0,2023_05_11__16_57_59,0.009265573,0.078898735,0.01314325,0.079971865,0.031703163,0.07949822,0.99959946,0.0005088305,0.99443287,0.00041547036,
417,gaussian_mixture,7,specified,unknown,eGBI,10.0,2023_05_11__17_07_44,0.10699509,0.103941895,0.113140665,0.10968397,0.12834859,0.109401554,0.99609226,0.00057462713,0.96669275,0.0010305456,0.5101
418,gaussian_mixture,7,specified,unknown,eGBI,25.0,2023_05_11__17_07_44,0.048705127,0.04847297,0.05347072,0.05301528,0.06695154,0.05118036,0.9887523,0.00039605692,0.9256847,0.00058830425,0.5016
419,gaussian_mixture,7,specified,unknown,eGBI,75.0,2023_05_11__17_07_44,0.020004382,0.0216412,0.024508057,0.025371354,0.03860437,0.01948184,0.9741333,0.00037242862,0.834217,0.00039723955,0.5435
420,gaussian_mixture,7,misspecified,known,ABC,10.0,2023_05_11__17_07_44,0.53882134,0.382037,0.5615252,0.38267237,0.51169074,0.38837862,0.99285734,0.0028526655,0.9911016,0.005107477,
421,gaussian_mixture,7,misspecified,known,ABC,25.0,2023_05_11__17_07_44,0.4108681,0.21374215,0.430601,0.21386108,0.37919816,0.19828236,0.9859969,0.0024004108,0.97232896,0.0051799207,
422,gaussian_mixture,7,misspecified,known,ABC,75.0,2023_05_11__17_07_44,0.5090943,0.27035132,0.5294063,0.28186303,0.46966645,0.2806643,0.9906446,0.0030501334,0.98409903,0.0060357773,
423,gaussian_mixture,7,misspecified,known,GBI,10.0,2023_05_11__17_07_44,0.34145856,0.14000627,0.35471147,0.1468182,0.3068262,0.11222718,0.9756822,0.0027349556,0.9423715,0.005388008,0.534
424,gaussian_mixture,7,misspecified,known,GBI,25.0,2023_05_11__17_07_44,0.24058025,0.07412187,0.25222218,0.08234294,0.23501489,0.045243703,0.98433036,0.0009698303,0.9012619,0.0024077191,0.5746
425,gaussian_mixture,7,misspecified,known,GBI,75.0,2023_05_11__17_07_44,0.17918505,0.03190405,0.18965746,0.04320479,0.19979648,0.015919471,0.96318346,0.0007176771,0.7068236,0.0012503504,0.5576
426,gaussian_mixture,7,misspecified,known,GT,10.0,2023_05_10__15_28_03,0.29546368,0.13034134,0.30787575,0.13690086,0.2769591,0.10308572,0.97629565,0.0017220132,0.9421593,0.0037313057,
427,gaussian_mixture,7,misspecified,known,GT,25.0,2023_05_10__15_28_03,0.20138924,0.050670393,0.21229267,0.05984513,0.21330015,0.029188173,0.9771562,0.00067082024,0.8381332,0.0015060508,
428,gaussian_mixture,7,misspecified,known,GT,75.0,2023_05_10__15_28_03,0.17153636,0.0275466,0.18186803,0.040368848,0.19786973,0.014352813,0.95815986,0.00090056617,0.6818739,0.0013013277,
429,gaussian_mixture,7,misspecified,known,NLE,1.0,2023_05_11__16_57_59,0.29865852,0.09671115,0.31097648,0.10502108,0.29236513,0.07751274,0.97921014,0.00071974355,0.9273151,0.0022860803,
430,gaussian_mixture,7,misspecified,known,NPE,1.0,2023_05_11__16_57_59,0.15590402,0.059907272,0.16588485,0.06627718,0.19240202,0.057975553,0.9903269,0.0014030138,0.9031312,0.0015163445,
431,gaussian_mixture,7,misspecified,known,eGBI,10.0,2023_05_11__17_07_44,0.29895797,0.13880879,0.3112527,0.14469627,0.28063974,0.11212393,0.9758374,0.001799466,0.9459867,0.0037501594,0.4961
432,gaussian_mixture,7,misspecified,known,eGBI,25.0,2023_05_11__17_07_44,0.20081724,0.059478715,0.21174018,0.068667606,0.21394365,0.035235982,0.9782503,0.0008510429,0.8730127,0.0017366929,0.5146
433,gaussian_mixture,7,misspecified,known,eGBI,75.0,2023_05_11__17_07_44,0.1568021,0.028158048,0.16698244,0.040179707,0.19160742,0.013743273,0.9592791,0.0014506633,0.6999206,0.0016364758,0.6733
434,gaussian_mixture,7,misspecified,unknown,ABC,10.0,2023_05_11__17_07_44,0.21670553,0.101116486,0.2290219,0.097221814,0.17874424,0.10800949,0.8631083,0.0044179554,0.83406967,0.0060570226,
435,gaussian_mixture,7,misspecified,unknown,ABC,25.0,2023_05_11__17_07_44,0.20791802,0.09968861,0.22208288,0.10412781,0.16863964,0.099663354,0.9139925,0.0032176294,0.8977259,0.004956001,
436,gaussian_mixture,7,misspecified,unknown,ABC,75.0,2023_05_11__17_07_44,0.18485329,0.063029714,0.19999768,0.066063896,0.1538623,0.067027465,0.78244424,0.0027775667,0.7506104,0.0042938534,
437,gaussian_mixture,7,misspecified,unknown,GBI,10.0,2023_05_11__17_07_44,0.2324919,0.107741274,0.24569006,0.112283975,0.17104985,0.09179335,0.875134,0.006498749,0.85555446,0.0089679295,0.5611
438,gaussian_mixture,7,misspecified,unknown,GBI,25.0,2023_05_11__17_07_44,0.17523871,0.05517028,0.18726046,0.05912447,0.116174966,0.039477482,0.7253287,0.004930962,0.68517953,0.006908418,0.635
439,gaussian_mixture,7,misspecified,unknown,GBI,75.0,2023_05_11__17_07_44,0.15212217,0.02824469,0.16412212,0.03344488,0.09234887,0.01162601,0.3495704,0.0042760544,0.3133961,0.0061612045,0.7966
440,gaussian_mixture,7,misspecified,unknown,GT,10.0,2023_05_10__15_28_03,0.20750134,0.0936102,0.21995896,0.09710672,0.17525136,0.09704546,0.83694315,0.004013833,0.8186456,0.005416174,
441,gaussian_mixture,7,misspecified,unknown,GT,25.0,2023_05_10__15_28_03,0.1510696,0.0395192,0.16290233,0.042626977,0.12728126,0.046018872,0.62925714,0.0019563395,0.5853045,0.0029070093,
442,gaussian_mixture,7,misspecified,unknown,GT,75.0,2023_05_10__15_28_03,0.12248104,0.013978285,0.13412644,0.017893486,0.1068691,0.021456765,0.28407964,0.00072901347,0.22801827,0.0013483219,
443,gaussian_mixture,7,misspecified,unknown,NLE,1.0,2023_05_11__16_57_59,0.22834648,0.008357417,0.2415674,0.021689354,0.31399345,0.013336379,0.7675254,0.0074119996,0.2973221,0.0057217213,
444,gaussian_mixture,7,misspecified,unknown,NPE,1.0,2023_05_11__16_57_59,0.1269702,0.047035605,0.13883118,0.048720047,0.1433054,0.050449338,0.9578411,0.00047853068,0.9344562,0.00034514364,
445,gaussian_mixture,7,misspecified,unknown,eGBI,10.0,2023_05_11__17_07_44,0.21640524,0.10456373,0.22881633,0.10775083,0.18679832,0.11221827,0.8566715,0.0042980975,0.8423212,0.005597886,0.4968
446,gaussian_mixture,7,misspecified,unknown,eGBI,25.0,2023_05_11__17_07_44,0.15535589,0.04432825,0.16749819,0.04786412,0.13427806,0.052281614,0.6705731,0.0020341426,0.6386422,0.0029312589,0.4981
447,gaussian_mixture,7,misspecified,unknown,eGBI,75.0,2023_05_11__17_07_44,0.12732334,0.021115853,0.1388803,0.024367271,0.116084084,0.031081725,0.5349926,0.00083588285,0.47692958,0.0013569071,0.5463
448,gaussian_mixture,8,specified,known,ABC,10.0,2023_05_11__17_07_44,0.09872034,0.09409562,0.10664324,0.10164487,0.114029065,0.09672717,0.9957332,0.000317259,0.9481746,0.0010769448,
449,gaussian_mixture,8,specified,known,ABC,25.0,2023_05_11__17_07_44,0.02808451,0.027005987,0.033858858,0.033003308,0.040378314,0.024611834,0.9680131,0.00019842573,0.8917683,0.0002838224,
450,gaussian_mixture,8,specified,known,ABC,75.0,2023_05_11__17_07_44,0.013004341,0.011763685,0.01383939,0.010801092,0.027924385,0.008588654,0.9401827,0.00024433236,0.630037,0.00027045186,
451,gaussian_mixture,8,specified,known,GBI,10.0,2023_05_11__17_07_44,0.09288071,0.09494972,0.098900296,0.10056371,0.10565748,0.09874248,0.994531,0.00028015987,0.9624116,0.0007953254,0.4988
452,gaussian_mixture,8,specified,known,GBI,25.0,2023_05_11__17_07_44,0.040793203,0.036383737,0.045201544,0.04100612,0.05132577,0.03616677,0.97368187,0.000180231,0.8806026,0.00041499676,0.5026
453,gaussian_mixture,8,specified,known,GBI,75.0,2023_05_11__17_07_44,0.018407661,0.015682459,0.022045879,0.020367587,0.03070426,0.011542885,0.93971366,0.00019016073,0.74142426,0.00027438573,0.5335
454,gaussian_mixture,8,specified,known,GT,10.0,2023_05_10__15_28_03,0.094936885,0.09630755,0.10034843,0.101512216,0.109114185,0.10081196,0.99478596,0.00032250685,0.96333635,0.0008275839,
455,gaussian_mixture,8,specified,known,GT,25.0,2023_05_10__15_28_03,0.040199846,0.038931955,0.044802886,0.043887887,0.05256215,0.04003073,0.97929806,0.00021854765,0.8988018,0.00043059292,
456,gaussian_mixture,8,specified,known,GT,75.0,2023_05_10__15_28_03,0.014143124,0.013641866,0.018037258,0.0176624,0.028837739,0.011196257,0.9348471,0.00024181022,0.7320582,0.0002644043,
457,gaussian_mixture,8,specified,known,NLE,1.0,2023_05_11__16_57_59,0.0009970873,0.0004903551,0.0045487043,0.005059658,0.020649288,0.0006182116,0.8603096,0.00038631004,0.11602892,0.00028448025,
458,gaussian_mixture,8,specified,known,NPE,1.0,2023_05_11__16_57_59,0.008787533,0.07642144,0.012400564,0.07786826,0.025832046,0.07645523,0.99915063,0.00030044385,0.9941532,0.0002520056,
459,gaussian_mixture,8,specified,known,eGBI,10.0,2023_05_11__17_07_44,0.097644396,0.09842291,0.10344833,0.103378706,0.111545034,0.102972716,0.9949122,0.00031703353,0.9644632,0.0008221651,0.5
